postcode,construction_age_band,in_conservation_area
EC2Y 8DR,1967-1982,1
EC2Y 8NJ,1967-1982,1
EC2Y 8NA,1967-1982,1
EC2Y 8BY,1967-1982,1
EC2Y 8DP,1930-1949,1
EC2Y 8BX,1967-1982,1
EC1A 4LA,1950-1966,1
EC1A 7BX,1900-1929,1
EC1A 7BT,1983-1995,1
EC2V 6BN,pre-1900,1
EC2V 6HH,1900-1929,1
EC1A 4ER,2012-onwards,1
EC2Y 8AA,1930-1949,0
EC1Y 0SL,1950-1966,1
EC1Y 0SN,1950-1966,1
EC1Y 0SJ,1967-1982,1
EC2Y 8AF,1967-1982,1
EC2Y 8DH,1967-1982,1
EC2Y 8DE,1967-1982,1
EC2Y 8HD,1996-2011,1
EC2Y 8BJ,1967-1982,1
EC2Y 8BE,1967-1982,1
EC2Y 8BH,1967-1982,1
EC2Y 8AU,1900-1929,1
EC2Y 9BA,2012-onwards,0
EC2Y 9AZ,2012-onwards,0
EC2Y 9AP,2012-onwards,0
EC2Y 8AT,1967-1982,1
EC2Y 9BB,2012-onwards,0
EC2Y 8BL,1967-1982,1
EC2Y 8BN,1967-1982,1
EC2Y 8AX,1930-1949,1
EC2Y 8AY,1967-1982,1
EC2Y 5AG,2012-onwards,0
EC2V 7AF,1930-1949,0
EC2Y 8BA,1967-1982,1
EC2V 5AF,1900-1929,1
EC2V 7HR,2012-onwards,0
EC2Y 5BN,1950-1966,0
EC2V 7DE,1967-1982,0
EC2Y 5BL,1967-1982,0
EC2V 7AD,1950-1966,1
EC2Y 5DE,2012-onwards,0
EC1Y 0ST,1967-1982,1
EC1Y 0TN,1950-1966,1
EC1Y 0TR,1967-1982,1
EC1Y 0TP,1950-1966,1
EC1Y 0SU,1950-1966,1
EC1Y 0RJ,1950-1966,1
EC1Y 0AD,2012-onwards,0
EC1Y 0RL,1950-1966,1
EC1Y 0RN,1950-1966,1
EC1Y 0AB,2012-onwards,0
EC1Y 0SA,1930-1949,0
EC4V 5EG,1900-1929,1
EC4V 5AF,pre-1900,1
EC4M 7AS,pre-1900,1
EC4V 5DT,pre-1900,1
EC4V 5EP,1996-2011,1
EC4V 6EL,pre-1900,1
EC4M 7BU,pre-1900,1
EC4M 7BY,1983-1995,1
